"CAS","odor_goodscents"
"120-72-9","animal floral moth ball fecal naphthelene, pungent, floral, slightly naphtha and mothball like with a fecal and animalic musty character"
"104-50-7","sweet coconut waxy creamy tonka dairy fatty"
"8013-90-9","violet sweet floral woody"
"2345-24-6","sweet fresh fruity raspberry strawberry green, fruity, sweet, green, floral, tutti-frutti, pear, citrus with a melon nuance"
"112-19-6","fresh clean laundered cloths rose, fatty, red licorice like fruity, sharp waxy with meaty and dairy like cheesy notes."
"14901-07-6","floral woody sweet fruity berry tropical beeswax"
"79-69-6","orris floral berry violet woody powdery, sweet, orris, woody, raspberry and powdery"
"123-92-2","sweet fruity banana solvent, sweet fruity banana solvent ethereal, sweet, banana, fruity with a ripe estry nuance"
"106-27-4","fruity green apricot pear banana"
"87-20-7","floral herbal woody orchid metallic"
"125-12-2","balsam camphor herbal woody sweet"
"39255-32-8","fresh fruity green melon apple skin pineapple natural waxy, fruity, green, melon and waxy with a fatty nuance"
"102-13-6","sweet floral honey chocolate amber, sweet, floral, honey, cocoa and fruity with a waxy nuance"
"78-84-2","fresh aldehydic floral green"
"65442-31-1","castoreum leather earthy oakmoss vetiver"
"7549-41-9","woody oak sawdust berry seedy spice camphor, woody oak and sawdust, berry seedy, spicy with a camphoreous nuance"
"29214-60-6","methyl dihydrojasmonate fruity jasmin waxy herbal"
"87-19-4","clover herbal orchid floral"
"68527-77-5","spice floral carnation herbal green woody"
"97-54-1","sweet spicy clove woody allspice carnation floral, sweet spicy, clove-like odor with a woody nuance"
"16409-45-3","tea cooling minty fruity berry"
"95-41-0","sweet floral herbal woody jasmin celery fresh dry waxy"
"57378-68-4","fruity sweet rose natural petal cassis black currant tobacco, woody, minty, sweet and fruity, with a brown herbal nuance"
"80623-07-0","sweet fruity rum candy floral ripe"
"80657-64-3","sweet fruity rum candy floral ripe"
"94248-21-2","camphor earthy patchouli woody herbal"
"106-24-1","sweet floral fruity rose waxy citrus"
"21063-71-8","fresh pineapple"
"23787-90-8","dry woody patchouli cedar earthy tobacco incense"
"13532-18-8","sulfurous vegetable onion sweet garlic tomato, sulfureous, vegetative, pungent, rooty, tomato, horseradish, onion and garlic"
"26489-01-0","floral leather waxy rose bud citrus"
"106-22-9","floral leather waxy rose bud citrus"
"108-64-5","fruity sweet apple pineapple tutti frutti, sweet, diffusive, estry, fruity, sharp, pineapple, apple, green and orange"
"112-43-6","fresh floral waxy ozone clean citrus"
"68228-09-1","fresh green herbal leafy cortex natural"
"3608-11-5","herbal dry woody clary sage thyme petitgrain lavender"
"2244-16-8","spice mint bread caraway"
"128-51-8","herbal linalyl acetate woody pine lavender"
"112-32-3","fruity rose orange waxy cucumber"
"586-62-9","fresh woody sweet pine citrus, sweet, fresh, piney citrus with a woody old lemon peel nuance"
"68480-15-9","floral minty earthy leather"
"69929-16-4","fresh clean rose citrus cologne floral"
"37172-05-7","woody amber dry guaiacwood"
"135-79-5","weedy green metallic earthy leafy cortex phenolic nutty"
"68956-56-9","pine citrus herbal green"
"7416-35-5","sweet citrus herbal green celery spicy minty woody, citrus, cooling, woody, camphoreous, minty, with a green and fresh spicy nuance"
"538-86-3","fruity ethereal ylang green floral hyacinth"
"65113-95-3","woody methyl ionone 4-t-butyl cyclohexyl acetate sandalwood"
"70214-77-6","chicken coup floral green fruity mushroom"
"10024-64-3","dry fruity herbal sweet green natural"
"513-86-0","sweet buttery creamy dairy milky fatty"
"5655-61-8","sweet balsamic woody fresh pine needle herbal"
"50-21-5","odorless"
"67-63-0","alcohol musty woody"
"25013-16-5","mild rubbery"
"93-29-8","sweet spicy powdery floral carnation balsam"
"7492-70-8","creamy buttery buttermilk dairy cheese, creamy, fatty and dairy-like, with waxy, sweaty and green nuances"
"9002-93-1","bland alcohol"
"108-98-5","repulsive penetrating garlic, meaty, phenolic, sulfuraceous, with a rubbery allicious backnote"
"4395-92-0","earthy fern aldehydic cumin green cortex"
"95-16-9","sulfury rubbery vegetable cooked nutty coffee meat, sulfureous, rubbery, vegetative, cooked, brown, nutty, coffee-like and meaty"
"109-79-5","sulfury garlic onion egg coffee, sulfureous, fatty, stewed beef, sauteed onion, egg, coffee and garlic"
"28069-74-1","green violet natural green leaf mushroom earthy, green, vegetative, musty and radish-like with a raw, fruity nuance"
"6707-60-4","musk woody sweet brassylate fruity"
"78-93-3","acetone-like ethereal fruity camphor, etherial, diffusive and slightly fruity with a camphoreous nuance"
"626-82-4","fruity pineapple berry apple juicy green winey waxy cognac soapy, fruity, pineapple, waxy, green, juicy, apple"
"97-85-8","ethereal fruity tropical fruit pineapple grape skin banana"
"4359-47-1","green fruity radish chrysanthemum gardenia metallic"
"15706-73-7","fruity tropical green ethereal herbal celery cocoa jammy peach grassy"
"68039-49-6","green aldehydic leafy cortex tart floral peely"
"94-26-8","very faint phenolic"
"590-01-2","earthy sweet weak rose, sweet, estry, banana, ripe, tufti-frutti, bright, lifting, cherry and rum-like"
"87118-95-4","woody amber dry fatty soapy raisin"
"109-73-9","ammonia-like fishy"
"123-72-8","pungent cocoa musty green malty bready, pungent, diffusive, cocoa, choking, musty, green, malty"
"13171-00-1","animal musk cedar ambergris woody"
"108-39-4","medicinal woody leather phenolic"
"7289-52-3","fresh air clean laundered cloths sweet"
"95-48-7","musty phenolic plastic medicinal herbal leathery"
"1205-17-0","watery fresh green ozone cyclamen hay"
"334-48-5","unpleasant rancid sour fatty citrus"
"1222-05-5","strong diffusive sweet floral musk"
"3913-81-3","waxy fatty earthy green cilantro mushroom aldehydic fried chicken fat tallow, waxy, fatty, earthy, coriander, green, mushroom, aldehydic with a chicken and pork fat nuance"
"765-05-9","clean waxy rose fresh laundry powdery"
"17373-89-6","warm jasmin spicy fruity"
"5989-54-8","terpene pine herbal peppery"
"78-69-3","fresh sweet citrus lime floral lily"
"78-70-6","citrus floral sweet bois de rose woody green blueberry"
"115-95-7","sweet green citrus bergamot lavender woody"
"65504-45-2","fruity"
"62-54-4","mild acetic"
"144-39-8","fresh bergamot lily woody rose rum"
"13706-86-0","sweet sharp fruity creamy brown butter, sweet, sharp, fruity, creamy with a brown buttery nuance"
"31906-04-4","floral muguet cyclamen rhubarb woody"
"31501-11-8","fruity green waxy pear winey tropical grassy pineapple, fruity, waxy, green, fatty, tropical and pulpy with a winey, balsamic nuance"
"27606-09-3","floral green grapefruit narcissus magnolia geranium gardenia"
"7779-77-3","grape sweet fruity floral berry, anthranilate grape-like, sweet fruity with a floral berry nuance"
"90-12-0","naphthyl chemical medicinal camphor, naphthyl-like with a chemical medicinal and camphor-like nuance"
"624-41-9","over ripe fruit sweet banana juicy fruit, sweet, banana, fruity, ripe, estry and tropical with a juicy, fruit-like note"
"4643-27-0","yeast jam preserves tropical fruit mushroom metallic, yeasty, fruity, mushroom, metallic, bready, pineapple, horseradish, earthy"
"112-37-8","waxy creamy cheese fatty coconut, waxy, creamy, cheese-like, with a fatty coconut nuance"
"624-92-0","sulfurous vegetable cabbage onion"
"3658-80-8","sulfurous cooked onion savory meaty, sulfureous, alliaceous, cooked, savory, meaty, eggy and vegetative with a fresh, green, onion topnote"
"4077-47-8","sweet moldy mushroom vegetable potato burnt sugar nut skin wasabi caramellic fruity brandy, musty, sweet, caramellic, musty beany, cocoa, coffee with slightly meaty and vegetative nuances"
"5910-89-4","nutty nut skin cocoa peanut butter coffee walnut caramellic roasted, musty, nut skins, cocoa powdery and roasted with potato and coffee nuances"
"14073-97-3","deep menthol peppermint herbal camphor, minty, cooling, sweet, peppermint-iike, fresh, camphoreous, herbal with a green anise nuance"
"123-32-0","cocoa roasted nuts roast beef woody grass medical, nutty, peanut, musty, earthy, powdery and slightly roasted with a cocoa powder nuance"
"108-50-9","ethereal cocoa nutty roasted roasted meaty beefy brown coffee buttermilk"
"23654-92-4","meaty beefy sulfurous"
"3613-30-7","fresh melon floral lily sweet"
"143-07-7","mild fatty coconut bay oil"
"122-00-9","hawthorn sweet mimosa coumarin cherry acetophenone, sweet, powdery, naphthyl, vanilla, coumarin and cherry-like"
"134-20-3","fruity grape orangeflower neroli, fruity, concord grape, musty with a floral powdery nuance"
"32737-14-7","hazelnut roasted almonds pineapple earthy"
"140-88-5","harsh plastic acrylate fruity"
"13327-56-5","sulfury metallic pineapple fruity ripe pulpy tomato, sulfureous, metallic, pineapple, fruity ripe, pulpy and tomato"
"628-97-7","mild waxy fruity creamy milky balsamic greasy oily, waxy, fruity, creamy and milky with a balsamic nuance"
"55031-15-7","nutty nut skin hazelnut peanut chocolate roasted, nut skin, brown, sweet, musty, with a slightly roasted peanut shell nuance"
"1754-62-7","sweet balsam strawberry cherry"
"13925-07-0","burnt almonds roasted nuts coffee, peanut, nutty, caramel, coffee, musty, cocoa, pyrazine and roasted"
"93-15-2","sweet fresh warm spicy clove carnation cinnamon, spicy, cinnamon, clove, musty, vegetative, waxy and peppery with phenolic nuances"
"110-93-0","citrus green musty lemongrass apple, fruity, apple, musty, ketonic and creamy with slight cheesy and banana nuances"
"821-55-6","fresh sweet green weedy earthy herbal, fruity, sweet, waxy, soapy, cheese, green herbaceous, coconut like"
"104-90-5","nutty strong raw potato roasted earthy"
"13360-64-0","coffee bean nutty grassy roasted"
"941-98-0","sweet neroli orange blossom powdery"
"13925-00-3","peanut butter musty nutty woody roasted cocoa, nutty, musty, fermented, coffee, roasted,cocoa and meaty nuances"
"111-80-8","floral green violet leaf melon cucumber"
"64-18-6","pungent vinegar formyl, sharp, penetrating, acetic, fruity with a fermented nuance"
"9000-11-7","odorless"
"101-41-7","sweet floral honey spice waxy almond, sweet, floral, fruity, honey and spice like"
"98-01-1","sweet woody almond fragrant baked bread, sweet, brown, woody, bready, caramellic, with a slight phenolic nuance"
"98-02-2","sulfury roasted coffee oily fatty burnt smoky, roasted coffee, sulfurous, with a burnt match note. it is savory meaty with chicken and fried onion nuances."
"56-81-5","odorless"
"119-36-8","wintergreen mint, sweet, salicylate, root beer, wintergreen, aromatic, slightly phenolic and camphoreous"
"56-40-6","odorless"
"111-14-8","rancid sour cheesy sweat, cheesy, waxy, sweaty, fermented, pineapple and fruity"
"1119-44-4","green grassy caraway, sweet, fruity, ketonic, cheesy, with a green woody nuance"
"2349-13-5","sweet green fruity warm floral apple cherry apricot, sweet, slightly green, fruity estery with pineapple, apple, cherry, apricot, and peach nuances"
"142-62-1","sour fatty sweat cheese"
"65620-50-0","camphor pine woody earthy green woody, camphoreous, piney, earthy, green, cooling and woody"
"2349-07-7","green fruity apple pear tart grape ripe berry winey peach, sweet, green, fruity, apple- and pear-like with ripe peach and berry nuances"
"68909-04-6","melon lily hydroxycitronellal"
"2445-76-3","pear green fruity musty rotting fruit"
"80-54-6","floral muguet watery green powdery cumin"
"698-10-2","sweet fruity caramellic maple fenugreek brown sugar nutty chicory praline butterscotch, sweet, fruity, sweet caramel with a maple like nuance"
"71159-90-5","sulfury aromatic grapefruit naphthyl resinous woody, sulfurous, alliaceous, grapefruit, onion, garlic, tropical and woody"
"68912-13-0","fruity herbal woody jasmin oily basil"
"93905-03-4","earthy bell pepper raw potato galbanum"
"83-66-9","musty sweet ambrette seed"
"24168-70-5","musty green pea galbanum bell pepper, musty, green, vegetative, nutty, peppery and potato-like"
"81-14-1","fatty musk soapy dry floral powdery"
"68378-13-2","chocolate cocoa roasted almond hazelnut peanut nutty"
"3149-28-8","sweet nutty cocoa"
"623-42-7","fruity apple sweet banana pineapple, pungent, etherial, fruity, perfumey and fusel with a fermented, cultured, creamy undernote"
"57500-00-2","sulfury coffee roasted alliaceous meaty, roasted coffee, sulfurous cooked meat and liver, onion and garlic nuances. slight eggy undertones"
"106-70-7","ethereal fruity pineapple apricot strawberry tropical fruit banana bacon"
"81-15-2","fatty dry sweet soapy musk"
"547-63-7","fruity floral apple pineapple, etherial, diffusive, fruity, sweet and tutti-frutti"
"74-93-1","decomposing cabbage garlic, vegetable oil, alliaceous, eggy, creamy with savory nuances"
"111-11-5","waxy green sweet orange aldehydic vegetable herbal, waxy, green, sweet, orange and aldehydic with vegetative and herbal nuances"
"13623-11-5","musty nutty vegetable cocoa hazelnut chocolate coffee, musty, nutty and vegetative with toasted brown cocoa and coffee nuances"
"564-94-3","sweet cinnamon tonka spicy terpene camphor jam, cooling, green, minty with spicy woody notes"
"515-00-4","woody pine balsam sweet mint medical, camphoreous, woody, cooling, minty with a medicinal nuance"
"624-24-8","sweet green fruity apple pineapple nutty, sweet, tutti frutti, juicy bubble gum-like with a sweaty nuance. it lends a sweet estery, syrupy fruity background"
"101-81-5","sweet green wet plastic geranium"
"96-17-3","musty cocoa phenolic coffee nutty malty fermented fatty alcoholic, musty, chocolate, nutty, furfural and iaovaleraldehyde-like with malty and fermented nuances"
"51566-62-2","fresh lemon metallic citrus waxy floral"
"106-25-2","sweet natural neroli citrus magnolia"
"65530-53-2","sulfurous nutty roasted coffee cooked meat"
"1569-60-4","sweet oily green coriander"
"59323-76-1","sulfurous green galbanum fruity tropical pineapple"
"109-08-0","nutty cocoa roasted chocolate peanut green, nutty, brown, nut skin, musty, pyrazine and earthy with a slight roasted nuance"
"23328-62-3","sulfurous vegetable onion garlic mustard nutty potato, sulfureous, vegatative, onion, garlic, mustard and nutty with a potato nuance"
"67952-65-2","nutty earthy peanut musty coffee vegetable, toasted popcorn, roasted almond, hazelnut, peanut and cashew nutty, with a caramellic and corn-chip nuance"
"7212-44-4","floral green waxy citrus woody"
"13679-70-4","sweet almond cherry furfural woody acetophenone, sweet, almond, cherry, furfural, woody and acetophenone"
"505-10-2","sulfurous onion sweet soup vegetable, suifureous and onion-like with a sweet, savory, soupy-cooked vegetable nuance"
"544-63-8","waxy fatty soapy coconut, faint, waxy and fatty with a hint of pineapple and citrus peel"
"1128-08-1","fresh outdoor jasmin myrrh woody spice herbal, fruity, sweet, floral, woody with a powdery nuance"
